date,prcp,station
2017-04-08,0.0,USC00513117
2017-04-09,0.0,USC00513117
2017-04-10,0.3,USC00513117
2017-04-11,0.8,USC00513117
2017-04-12,0.8,USC00513117
2017-04-13,6.9,USC00513117
2017-04-14,17.5,USC00513117
2017-04-15,11.4,USC00513117
2017-04-16,12.4,USC00513117
2017-04-17,10.4,USC00513117
2017-04-18,2.0,USC00513117
2017-04-19,0.5,USC00513117
2017-04-20,8.4,USC00513117
2017-04-21,29.5,USC00513117
2017-04-22,25.7,USC00513117
2017-04-23,0.5,USC00513117
2017-04-24,0.0,USC00513117
2017-04-25,0.0,USC00513117
2017-04-26,0.0,USC00513117
2017-04-27,2.5,USC00513117
2017-04-28,66.0,USC00513117
2017-04-29,8.9,USC00513117
2017-04-30,30.7,USC00513117
2017-05-01,1.8,USC00513117
2017-05-02,0.8,USC00513117
2017-05-03,0.3,USC00513117
2017-05-04,0.0,USC00513117
2017-05-05,0.0,USC00513117
2017-05-06,0.0,USC00513117
2017-05-07,1.8,USC00513117
2017-05-08,5.6,USC00513117
2017-05-09,41.1,USC00513117
2017-05-10,1.3,USC00513117
2017-05-11,0.8,USC00513117
2017-05-12,1.0,USC00513117
2017-05-13,0.5,USC00513117
2017-05-14,1.3,USC00513117
2017-05-15,2.0,USC00513117
2017-05-16,0.8,USC00513117
2017-05-17,0.5,USC00513117
2017-05-18,2.3,USC00513117
2017-05-19,0.5,USC00513117
2017-05-20,0.0,USC00513117
2017-05-21,0.0,USC00513117
2017-05-22,0.0,USC00513117
2017-05-23,0.5,USC00513117
2017-05-24,14.7,USC00513117
2017-05-25,9.4,USC00513117
2017-05-26,0.5,USC00513117
2017-05-27,0.0,USC00513117
2017-05-28,7.4,USC00513117
2017-05-29,0.5,USC00513117
2017-05-30,5.1,USC00513117
2017-05-31,2.5,USC00513117
2017-06-01,0.8,USC00513117
2017-06-02,2.5,USC00513117
2017-06-03,5.1,USC00513117
2017-06-04,3.8,USC00513117
2017-06-05,0.0,USC00513117
2017-06-06,0.0,USC00513117
2017-06-07,0.0,USC00513117
2017-06-08,0.5,USC00513117
2017-06-09,0.5,USC00513117
2017-06-10,5.3,USC00513117
2017-06-11,6.1,USC00513117
2017-06-12,4.8,USC00513117
2017-06-13,9.1,USC00513117
2017-06-14,6.9,USC00513117
2017-06-15,4.3,USC00513117
2017-06-16,0.5,USC00513117
2017-06-17,8.9,USC00513117
2017-06-18,6.4,USC00513117
2017-06-19,1.3,USC00513117
2017-06-20,1.3,USC00513117
2017-06-21,0.5,USC00513117
2017-06-22,2.5,USC00513117
2017-06-23,0.0,USC00513117
2017-06-24,0.0,USC00513117
2017-06-25,2.0,USC00513117
2017-06-26,0.5,USC00513117
2017-06-27,0.0,USC00513117
2017-06-28,0.3,USC00513117
2017-06-29,0.8,USC00513117
2017-06-30,1.0,USC00513117
2017-07-01,1.5,USC00513117
2017-07-02,1.3,USC00513117
2017-07-03,3.3,USC00513117
2017-07-04,0.8,USC00513117
2017-07-05,0.0,USC00513117
2017-07-06,0.0,USC00513117
2017-07-07,0.5,USC00513117
2017-07-08,0.5,USC00513117
2017-07-09,2.3,USC00513117
2017-07-10,0.0,USC00513117
2017-07-11,0.3,USC00513117
2017-07-12,0.3,USC00513117
2017-07-13,8.4,USC00513117
2017-07-14,1.3,USC00513117
2017-07-15,0.8,USC00513117
2017-07-16,1.8,USC00513117
2017-07-17,3.0,USC00513117
2017-07-18,0.8,USC00513117
2017-07-19,0.0,USC00513117
2017-07-20,3.0,USC00513117
2017-07-21,0.0,USC00513117
2017-07-22,1.8,USC00513117
2017-07-23,1.5,USC00513117
2017-07-24,14.7,USC00513117
2017-07-25,0.8,USC00513117
2017-07-26,1.5,USC00513117
2017-07-27,0.0,USC00513117
2017-07-28,3.3,USC00513117
2017-07-29,1.5,USC00513117
2017-07-30,0.0,USC00513117
2017-07-31,0.0,USC00513117
2016-08-24,57.9,USC00514830
2016-08-25,0.0,USC00514830
2016-08-26,0.5,USC00514830
2016-08-27,0.5,USC00514830
2016-08-28,3.6,USC00514830
2016-08-29,1.0,USC00514830
2016-08-31,,USC00514830
2016-09-01,0.0,USC00514830
2016-09-02,4.8,USC00514830
2016-09-05,,USC00514830
2016-09-06,1.0,USC00514830
2016-09-07,5.8,USC00514830
2016-09-08,0.3,USC00514830
2016-09-09,7.4,USC00514830
2016-09-12,,USC00514830
2016-09-13,8.1,USC00514830
2016-09-14,46.7,USC00514830
2016-09-15,1.8,USC00514830
2016-09-16,1.8,USC00514830
2016-09-19,,USC00514830
2016-09-20,6.4,USC00514830
2016-09-21,0.5,USC00514830
2016-09-22,4.3,USC00514830
2016-09-23,3.8,USC00514830
2016-09-24,0.0,USC00514830
2016-09-25,0.0,USC00514830
2016-09-26,0.5,USC00514830
2016-09-27,0.0,USC00514830
2016-09-28,0.0,USC00514830
2016-09-29,5.1,USC00514830
2016-09-30,1.5,USC00514830
2016-10-01,2.0,USC00514830
2016-10-02,0.8,USC00514830
2016-10-03,0.8,USC00514830
2016-10-04,0.0,USC00514830
2016-10-05,0.0,USC00514830
2016-10-06,0.0,USC00514830
2016-10-07,0.0,USC00514830
2016-10-10,,USC00514830
2016-10-11,1.0,USC00514830
2016-10-12,0.0,USC00514830
2016-10-13,0.5,USC00514830
2016-10-14,0.0,USC00514830
2016-10-15,0.5,USC00514830
2016-10-17,,USC00514830
2016-10-18,0.8,USC00514830
2016-10-19,0.0,USC00514830
2016-10-20,0.3,USC00514830
2016-10-21,0.8,USC00514830
2016-10-23,,USC00514830
2016-10-24,0.3,USC00514830
2016-10-25,0.0,USC00514830
2016-10-27,5.1,USC00514830
2016-10-28,1.8,USC00514830
2016-10-29,6.6,USC00514830
2016-10-30,3.6,USC00514830
2016-10-31,0.0,USC00514830
2016-11-01,0.0,USC00514830
2016-11-02,0.0,USC00514830
2016-11-03,0.0,USC00514830
2016-11-04,0.0,USC00514830
2016-11-05,0.0,USC00514830
2016-11-06,0.0,USC00514830
2016-11-07,3.3,USC00514830
2016-11-08,0.5,USC00514830
2016-11-09,4.3,USC00514830
2016-11-10,0.0,USC00514830
2016-11-11,0.0,USC00514830
2016-11-12,0.0,USC00514830
2016-11-13,0.0,USC00514830
2016-11-14,1.3,USC00514830
2016-11-15,0.0,USC00514830
2016-11-16,4.6,USC00514830
2016-11-17,0.0,USC00514830
2016-11-22,,USC00514830
2016-11-25,,USC00514830
2016-11-26,0.5,USC00514830
2016-11-27,0.8,USC00514830
2016-11-28,0.0,USC00514830
2016-11-29,1.0,USC00514830
2016-11-30,0.8,USC00514830
2016-12-01,1.8,USC00514830
2016-12-02,10.2,USC00514830
2016-12-03,6.6,USC00514830
2016-12-04,0.0,USC00514830
2016-12-05,5.1,USC00514830
2016-12-07,,USC00514830
2016-12-08,0.5,USC00514830
2016-12-09,6.6,USC00514830
2016-12-10,0.0,USC00514830
2016-12-12,,USC00514830
2016-12-13,8.6,USC00514830
2016-12-14,3.0,USC00514830
2016-12-15,1.8,USC00514830
2016-12-16,0.0,USC00514830
2016-12-17,0.0,USC00514830
2016-12-18,1.0,USC00514830
2016-12-19,0.0,USC00514830
2016-12-20,0.0,USC00514830
2016-12-21,2.3,USC00514830
2016-12-22,1.3,USC00514830
2016-12-23,0.8,USC00514830
2016-12-24,3.3,USC00514830
2016-12-26,,USC00514830
2016-12-27,0.5,USC00514830
2016-12-28,0.3,USC00514830
2016-12-29,14.2,USC00514830
2016-12-30,7.4,USC00514830
2016-12-31,9.1,USC00514830
2017-01-01,0.0,USC00514830
2017-01-02,0.3,USC00514830
2017-01-03,0.0,USC00514830
2017-01-04,0.0,USC00514830
2017-01-05,0.0,USC00514830
2017-01-06,15.0,USC00514830
2017-01-07,0.0,USC00514830
2017-01-08,0.8,USC00514830
2017-01-09,0.0,USC00514830
2017-01-10,0.0,USC00514830
2017-01-11,0.0,USC00514830
2017-01-13,,USC00514830
